"Time","cluster_summary.buffer_length"
1626680880000,116
1626681000000,125.5
1626681120000,115.5
1626681240000,127
1626681360000,115.5
1626681480000,115.5
1626681600000,108.5
1626681720000,118.5
1626681840000,113
1626681960000,120
1626682080000,104.5
1626682200000,119.5
1626682320000,108.5
1626682440000,97
1626682560000,117
1626682680000,106.5
1626682800000,120
1626682920000,110
1626683040000,115
1626683160000,126
1626683280000,128
1626683400000,426
1626683520000,117
1626683640000,137
1626683760000,123.5
1626683880000,115.5
1626684000000,138.5
1626684120000,120
1626684240000,141
1626684360000,148.5
1626684480000,122.5
1626684600000,134
1626684720000,320.5
1626684840000,134.5
1626684960000,129
1626685080000,122.5
1626685200000,133
1626685320000,136.5
1626685440000,128.5
1626685560000,129
1626685680000,133.5
1626685800000,126
1626685920000,125.5
1626686040000,118
1626686160000,128
1626686280000,119.5
1626686400000,325
1626686520000,132.5
1626686640000,132
1626686760000,119
1626686880000,123
1626687000000,137
1626687120000,366
1626687240000,116.5
1626687360000,138.5
1626687480000,119.5
1626687600000,106
1626687720000,620.5
1626687840000,711.5
1626687960000,343
1626688080000,124
1626688200000,131.5
1626688320000,312.5
1626688440000,134
1626688560000,1549.5
1626688680000,1649
1626688800000,139
1626688920000,749
1626689040000,1634.5
1626689160000,5022
1626689280000,1729
1626689400000,205.5
1626689520000,272
1626689640000,122.5
1626689760000,120.5
1626689880000,411
1626690000000,259
1626690120000,136
1626690240000,156
1626690360000,123.5
1626690480000,258
1626690600000,174
1626690720000,184.5
1626690840000,135
1626690960000,177.5
1626691080000,115
1626691200000,121
1626691320000,124.5
1626691440000,108
1626691560000,107
1626691680000,111

