"Time","cluster_summary.incoming"
1626680880000,3522
1626681000000,3503.5
1626681120000,3545.5
1626681240000,3547
1626681360000,3430.5
1626681480000,3374
1626681600000,3481.5
1626681720000,3192
1626681840000,3307.5
1626681960000,3168
1626682080000,3295
1626682200000,3239
1626682320000,3143
1626682440000,3296
1626682560000,3218.5
1626682680000,3112
1626682800000,3202.5
1626682920000,3181.5
1626683040000,3242.5
1626683160000,3265.5
1626683280000,3510.5
1626683400000,3447
1626683520000,3437
1626683640000,3592.5
1626683760000,3579.5
1626683880000,3506
1626684000000,3539.5
1626684120000,3598.5
1626684240000,3588.5
1626684360000,3595.5
1626684480000,3576
1626684600000,3569
1626684720000,3529.5
1626684840000,3634.5
1626684960000,3598.5
1626685080000,3461.5
1626685200000,3517
1626685320000,3557
1626685440000,3577.5
1626685560000,3542.5
1626685680000,3550.5
1626685800000,3565.5
1626685920000,3559.5
1626686040000,3578.5
1626686160000,3573
1626686280000,3538.5
1626686400000,3557
1626686520000,3396
1626686640000,3554.5
1626686760000,3576.5
1626686880000,3554
1626687000000,3482.5
1626687120000,3575.5
1626687240000,3536
1626687360000,3609
1626687480000,3566
1626687600000,3467
1626687720000,3488.5
1626687840000,3406.5
1626687960000,3523
1626688080000,3443.5
1626688200000,3566.5
1626688320000,3554.5
1626688440000,3481
1626688560000,3473.5
1626688680000,3515.5
1626688800000,3559.5
1626688920000,3458.5
1626689040000,3515
1626689160000,3567
1626689280000,3534.5
1626689400000,3518
1626689520000,3421.5
1626689640000,3440.5
1626689760000,3522
1626689880000,3489.5
1626690000000,3440.5
1626690120000,3404
1626690240000,3420
1626690360000,3400
1626690480000,3448.5
1626690600000,3394
1626690720000,3336
1626690840000,3418
1626690960000,3273.5
1626691080000,3275
1626691200000,3376.5
1626691320000,3375
1626691440000,3365
1626691560000,3371
1626691680000,3413

